Competition,Week,Team,Win,P1,P2,P3,P4,P5,Lineup,PTS_For,PTS_Agn,+/-,FTM_For,FTA_For,FTM_Agn,FTA_Agn,FOULS_Committed,FOULS_Drawn,TOV_For,TOunf_For,STL_For,BLK_For,TOV_Agn,TOunf_Agn,STL_Agn,BLK_Agn,Rim_FGM_For,Rim_FGA_For,Rim%_For,Rim_FGM_Agn,Rim_FGA_Agn,Rim%_Agn,Paint_FGM_For,Paint_FGA_For,Paint%_For,Paint_FGM_Agn,Paint_FGA_Agn,Paint%_Agn,MR_FGM_For,MR_FGA_For,MR%_For,MR_FGM_Agn,MR_FGA_Agn,MR%_Agn,Cor3_FGM_For,Cor3_FGA_For,Cor3%_For,Cor3_FGM_Agn,Cor3_FGA_Agn,Cor3%_Agn,ATB3_FGM_For,ATB3_FGA_For,ATB3%_For,ATB3_FGM_Agn,ATB3_FGA_Agn,ATB3%_Agn,OREB_For,DREB_For,AST_For,OREB_Agn,DREB_Agn,AST_Agn,Rival
Amistós,1,CB Argentona,1,V. Domingo,M. Martori,P. Villagrasa,À. López,I. Santos,"VÍCTOR DOMINGO (17), MARTÍ MARTORI (9), POL VILLAGRASA (23), ÀLEX LÓPEZ (13), IZAN SANTOS (16)",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0%,0,1,0%,0,0,0%,0,0,0%,0,1,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,1,0,0,1,0,CB BARBERÀ
Amistós,1,CB Argentona,1,I. Jarque,M. Martori,X. Blanco,À. López,A. Holguin,"IÑAKI JARQUE (7), MARTÍ MARTORI (9), XAVI BLANCO (8), ÀLEX LÓPEZ (13), ARMANDO HOLGUIN (35)",7,0,7,3,4,0,0,1,3,1,0,3,0,3,1,1,1,0,1,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,2,2,100%,0,2,0%,0,2,0,1,2,0,CB BARBERÀ
Amistós,1,CB Argentona,1,I. Jarque,M. Martori,X. Blanco,À. López,P. Peiró,"IÑAKI JARQUE (7), MARTÍ MARTORI (9), XAVI BLANCO (8), ÀLEX LÓPEZ (13), PAU PEIRÓ (24)",4,4,0,0,0,2,3,4,2,1,1,2,0,0,0,1,0,2,3,67%,0,0,0%,0,0,0%,0,0,0%,0,1,0%,0,0,0%,1,1,100%,0,0,0%,0,0,0%,0,0,0%,1,2,2,0,1,0,CB BARBERÀ
Amistós,1,CB Argentona,1,I. Jarque,M. Martori,X. Blanco,A. Holguin,À. López,"IÑAKI JARQUE (7), MARTÍ MARTORI (9), XAVI BLANCO (8), ARMANDO HOLGUIN (35), ÀLEX LÓPEZ (13)",3,4,-1,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0%,0,0,0%,1,1,100%,0,1,0%,0,0,0%,1,1,100%,0,0,0%,0,0,0%,0,0,0%,0,0,1,0,1,0,CB BARBERÀ
Amistós,1,CB Argentona,1,I. Jarque,M. Martori,V. Jarque,A. Holguin,B. Font,"IÑAKI JARQUE (7), MARTÍ MARTORI (9), VÍCTOR JARQUE (18), ARMANDO HOLGUIN (35), BIEL FONT (11)",0,4,-4,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,1,0%,1,1,100%,0,0,0,0,2,0,CB BARBERÀ
Amistós,1,CB Argentona,1,I. Jarque,M. Martori,V. Jarque,I. Santos,B. Font,"IÑAKI JARQUE (7), MARTÍ MARTORI (9), VÍCTOR JARQUE (18), IZAN SANTOS (16), BIEL FONT (11)",1,6,-5,1,2,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,2,2,100%,0,0,0,0,1,0,CB BARBERÀ
Amistós,1,CB Argentona,1,I. Jarque,V. Domingo,X. Blanco,I. Santos,B. Font,"IÑAKI JARQUE (7), VÍCTOR DOMINGO (17), XAVI BLANCO (8), IZAN SANTOS (16), BIEL FONT (11)",4,6,-2,2,2,4,5,2,1,2,1,0,0,0,0,1,0,1,1,100%,1,1,100%,0,0,0%,0,1,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,2,1,0,0,0,CB BARBERÀ
Amistós,1,CB Argentona,1,P. Villagrasa,M. Martori,X. Blanco,I. Santos,B. Font,"POL VILLAGRASA (23), MARTÍ MARTORI (9), XAVI BLANCO (8), IZAN SANTOS (16), BIEL FONT (11)",0,3,-3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,2,0%,1,1,100%,2,1,0,0,2,0,CB BARBERÀ
Amistós,1,CB Argentona,1,P. Villagrasa,M. Martori,X. Blanco,À. López,P. Peiró,"POL VILLAGRASA (23), MARTÍ MARTORI (9), XAVI BLANCO (8), ÀLEX LÓPEZ (13), PAU PEIRÓ (24)",8,5,3,3,4,1,2,2,1,1,0,1,0,0,0,1,0,2,4,50%,1,2,50%,0,0,0%,0,0,0%,0,0,0%,1,1,100%,1,1,100%,1,1,100%,0,0,0%,0,0,0%,0,1,1,1,2,0,CB BARBERÀ
Amistós,1,CB Argentona,1,P. Villagrasa,M. Martori,I. Jarque,I. Santos,P. Peiró,"POL VILLAGRASA (23), MARTÍ MARTORI (9), IÑAKI JARQUE (7), IZAN SANTOS (16), PAU PEIRÓ (24)",2,4,-2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,100%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,1,1,100%,0,0,1,1,0,0,CB BARBERÀ
Amistós,1,CB Argentona,1,P. Villagrasa,X. Blanco,I. Jarque,I. Santos,P. Peiró,"POL VILLAGRASA (23), XAVI BLANCO (8), IÑAKI JARQUE (7), IZAN SANTOS (16), PAU PEIRÓ (24)",5,10,-5,3,4,3,4,2,2,0,0,0,0,0,0,0,1,1,1,100%,1,2,50%,0,0,0%,0,0,0%,0,0,0%,2,2,100%,0,1,0%,0,0,0%,0,2,0%,1,3,33%,1,2,1,3,2,0,CB BARBERÀ
Amistós,1,CB Argentona,1,A. Holguin,X. Blanco,I. Jarque,I. Santos,P. Peiró,"ARMANDO HOLGUIN (35), XAVI BLANCO (8), IÑAKI JARQUE (7), IZAN SANTOS (16), PAU PEIRÓ (24)",0,1,-1,0,0,1,2,0,0,2,1,0,0,1,1,1,0,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,1,0%,0,1,0,2,0,0,CB BARBERÀ
